iter	Passed	Remaining
0	143	143408
1	145	72617
2	147	48855
3	148	36878
4	149	29742
5	150	25001
6	152	21585
7	153	19076
8	155	17157
9	157	15578
10	158	14276
11	160	13190
12	161	12252
13	162	11436
14	163	10745
15	164	10147
16	166	9619
17	167	9163
18	169	8767
19	171	8406
20	173	8068
21	174	7755
22	175	7461
23	176	7192
24	178	6945
25	179	6712
26	180	6499
27	181	6302
28	183	6135
29	185	5984
30	186	5835
31	188	5690
32	189	5558
33	190	5422
34	191	5293
35	193	5171
36	194	5055
37	195	4949
38	197	4857
39	198	4774
40	200	4689
41	201	4607
42	203	4521
43	204	4445
44	205	4367
45	206	4289
46	207	4215
47	209	4145
48	210	4080
49	212	4031
50	213	3980
51	215	3926
52	216	3872
53	218	3820
54	219	3771
55	220	3720
56	221	3668
57	222	3619
58	224	3572
59	225	3526
60	226	3492
61	228	3457
62	229	3420
63	231	3384
64	232	3348
65	233	3310
66	235	3273
67	236	3237
68	237	3201
69	238	3166
70	239	3133
71	240	3104
72	242	3085
73	244	3060
74	246	3034
75	247	3007
76	248	2980
77	249	2954
78	251	2927
79	252	2901
80	253	2875
81	254	2851
82	255	2821
83	257	2806
84	259	2788
85	260	2768
86	262	2749
87	263	2731
88	264	2709
89	265	2689
90	267	2669
91	268	2650
92	269	2630
93	271	2617
94	273	2600
95	274	2588
96	276	2573
97	277	2555
98	278	2539
99	280	2522
100	281	2504
101	282	2488
102	283	2470
103	284	2454
104	287	2453
105	289	2443
106	291	2431
107	292	2417
108	294	2403
109	295	2390
110	296	2376
111	297	2361
112	299	2349
113	300	2337
114	302	2330
115	304	2321
116	306	2310
117	307	2299
118	308	2286
119	310	2274
120	311	2261
121	312	2247
122	313	2235
123	314	2223
124	316	2213
125	318	2206
126	319	2196
127	320	2186
128	322	2176
129	323	2165
130	324	2155
131	326	2144
132	327	2133
133	328	2122
134	329	2112
135	331	2104
136	332	2097
137	334	2089
138	336	2082
139	337	2073
140	338	2065
141	339	2054
142	341	2044
143	342	2036
144	343	2027
145	345	2018
146	346	2012
147	348	2006
148	350	1999
149	351	1992
150	353	1985
151	354	1977
152	355	1969
153	356	1961
154	358	1952
155	359	1944
156	360	1937
157	362	1933
158	364	1927
159	365	1921
160	367	1912
161	368	1907
162	370	1900
163	371	1893
164	372	1886
165	374	1880
166	376	1875
167	377	1870
168	379	1866
169	381	1862
170	382	1856
171	384	1850
172	385	1844
173	387	1838
174	388	1831
175	390	1826
176	392	1823
177	393	1819
178	395	1815
179	397	1810
180	398	1803
181	400	1797
182	401	1791
183	402	1785
184	404	1779
185	405	1774
186	407	1771
187	409	1769
188	411	1764
189	412	1759
190	414	1754
191	415	1748
192	416	1743
193	418	1737
194	419	1733
195	421	1730
196	423	1727
197	425	1724
198	427	1719
199	428	1713
200	429	1708
201	431	1702
202	432	1696
203	433	1691
204	434	1685
205	436	1681
206	437	1677
207	439	1675
208	441	1670
209	442	1665
210	444	1660
211	445	1656
212	446	1650
213	447	1645
214	449	1639
215	450	1634
216	451	1630
217	453	1626
218	455	1623
219	457	1620
220	458	1616
221	460	1612
222	461	1607
223	462	1602
224	464	1598
225	465	1594
226	466	1590
227	468	1586
228	470	1582
229	471	1579
230	473	1575
231	474	1571
232	475	1566
233	477	1561
234	478	1557
235	479	1552
236	481	1548
237	482	1545
238	484	1543
239	486	1540
240	488	1538
241	490	1535
242	491	1532
243	493	1528
244	495	1525
245	496	1523
246	498	1520
247	500	1518
248	502	1515
249	504	1512
250	505	1508
251	507	1505
252	508	1501
253	510	1499
254	512	1495
255	513	1492
256	515	1490
257	517	1487
258	518	1484
259	520	1481
260	522	1478
261	524	1476
262	525	1473
263	528	1472
264	530	1470
265	532	1468
266	533	1465
267	535	1463
268	537	1459
269	538	1456
270	540	1454
271	542	1453
272	544	1450
273	546	1448
274	548	1445
275	549	1441
276	551	1438
277	552	1435
278	554	1432
279	555	1428
280	557	1426
281	559	1423
282	560	1421
283	562	1419
284	564	1415
285	566	1413
286	567	1409
287	569	1406
288	570	1404
289	572	1402
290	575	1401
291	577	1399
292	578	1396
293	580	1393
294	581	1390
295	583	1386
296	584	1384
297	586	1382
298	588	1380
299	590	1376
300	591	1373
301	592	1370
302	594	1367
303	596	1364
304	598	1363
305	599	1360
306	601	1357
307	603	1355
308	604	1352
309	606	1350
310	608	1347
311	609	1344
312	611	1341
313	612	1338
314	613	1335
315	615	1332
316	617	1330
317	619	1328
318	621	1326
319	622	1323
320	624	1319
321	625	1317
322	626	1314
323	628	1310
324	629	1308
325	631	1305
326	633	1303
327	634	1300
328	636	1298
329	638	1295
330	639	1292
331	640	1289
332	642	1286
333	643	1284
334	645	1280
335	646	1278
336	648	1276
337	650	1274
338	652	1272
339	653	1268
340	655	1266
341	656	1263
342	657	1260
343	659	1257
344	660	1254
345	662	1252
346	664	1250
347	666	1248
348	668	1246
349	669	1243
350	670	1240
351	672	1237
352	673	1234
353	675	1231
354	676	1229
355	678	1227
356	680	1225
357	682	1223
358	684	1221
359	685	1218
360	687	1216
361	689	1214
362	690	1212
363	693	1211
364	695	1209
365	697	1207
366	698	1205
367	700	1203
368	702	1200
369	703	1198
370	705	1195
371	706	1193
372	708	1191
373	710	1189
374	711	1186
375	713	1184
376	715	1182
377	717	1180
378	718	1177
379	720	1175
380	722	1174
381	725	1174
382	727	1172
383	729	1169
384	730	1166
385	732	1164
386	733	1162
387	735	1159
388	737	1157
389	739	1156
390	741	1154
391	743	1153
392	745	1151
393	747	1149
394	749	1147
395	750	1145
396	752	1143
397	754	1141
398	756	1139
399	758	1137
400	759	1134
401	761	1132
402	763	1130
403	764	1127
404	766	1125
405	768	1124
406	770	1123
407	772	1120
408	774	1118
409	775	1116
410	777	1113
411	778	1111
412	780	1108
413	781	1106
414	783	1104
415	785	1102
416	787	1101
417	789	1098
418	790	1096
419	792	1094
420	793	1091
421	795	1089
422	796	1086
423	798	1085
424	800	1082
425	801	1080
426	803	1078
427	805	1076
428	807	1074
429	808	1071
430	809	1069
431	811	1066
432	813	1064
433	814	1062
434	817	1061
435	818	1059
436	820	1056
437	822	1054
438	823	1052
439	824	1049
440	826	1047
441	828	1045
442	830	1044
443	832	1042
444	833	1039
445	835	1037
446	836	1035
447	838	1032
448	839	1030
449	840	1027
450	842	1025
451	844	1023
452	846	1022
453	848	1020
454	850	1018
455	851	1016
456	853	1014
457	855	1012
458	857	1010
459	860	1009
460	862	1008
461	865	1007
462	867	1006
463	869	1004
464	870	1001
465	872	1000
466	874	998
467	876	996
468	878	995
469	880	993
470	882	991
471	884	989
472	886	987
473	889	986
474	891	985
475	894	984
476	896	982
477	898	980
478	900	979
479	902	977
480	904	976
481	907	974
482	909	973
483	911	971
484	912	969
485	914	967
486	916	965
487	918	963
488	922	964
489	924	961
490	925	959
491	928	958
492	930	956
493	932	954
494	935	954
495	938	953
496	940	951
497	942	949
498	943	947
499	945	945
500	947	943
501	949	941
502	950	939
503	952	937
504	954	935
505	956	933
506	957	931
507	959	929
508	961	927
509	963	925
510	965	923
511	967	922
512	969	920
513	971	919
514	973	916
515	975	915
516	977	912
517	979	911
518	982	910
519	984	908
520	986	907
521	988	905
522	989	902
523	991	900
524	992	898
525	994	896
526	996	894
527	1000	894
528	1001	892
529	1003	890
530	1005	888
531	1007	886
532	1011	886
533	1014	885
534	1016	883
535	1017	881
536	1019	879
537	1021	877
538	1023	875
539	1025	873
540	1028	872
541	1030	870
542	1031	868
543	1033	866
544	1035	864
545	1037	862
546	1039	861
547	1042	859
548	1044	857
549	1046	855
550	1048	854
551	1049	852
552	1051	850
553	1053	848
554	1057	847
555	1059	846
556	1061	844
557	1063	842
558	1065	840
559	1067	838
560	1070	837
561	1072	835
562	1074	834
563	1076	832
564	1078	830
565	1079	828
566	1081	826
567	1083	824
568	1085	822
569	1087	820
570	1089	818
571	1090	816
572	1092	814
573	1094	811
574	1095	809
575	1097	807
576	1099	805
577	1102	804
578	1104	802
579	1105	800
580	1107	798
581	1109	796
582	1111	794
583	1112	792
584	1114	790
585	1116	788
586	1118	786
587	1120	784
588	1121	782
589	1123	780
590	1124	778
591	1125	775
592	1127	773
593	1128	771
594	1130	769
595	1132	767
596	1133	765
597	1135	763
598	1136	760
599	1138	758
600	1139	756
601	1141	754
602	1142	752
603	1143	749
604	1145	747
605	1147	746
606	1149	744
607	1150	742
608	1152	739
609	1153	737
610	1155	735
611	1157	733
612	1158	731
613	1159	729
614	1161	727
615	1163	725
616	1165	723
617	1166	721
618	1168	718
619	1169	716
620	1171	714
621	1172	712
622	1174	710
623	1175	708
624	1177	706
625	1179	704
626	1181	702
627	1182	700
628	1184	698
629	1185	696
630	1187	694
631	1188	691
632	1189	689
633	1191	688
634	1193	686
635	1195	684
636	1196	681
637	1197	679
638	1199	677
639	1201	675
640	1202	673
641	1204	671
642	1206	669
643	1207	667
644	1209	665
645	1211	663
646	1212	661
647	1213	659
648	1215	657
649	1216	655
650	1218	653
651	1219	651
652	1221	649
653	1223	647
654	1225	645
655	1226	643
656	1227	641
657	1229	639
658	1231	637
659	1232	634
660	1233	632
661	1235	630
662	1237	628
663	1239	627
664	1240	625
665	1242	623
666	1243	620
667	1245	618
668	1246	616
669	1247	614
670	1249	612
671	1251	610
672	1253	608
673	1255	607
674	1256	605
675	1258	603
676	1259	601
677	1261	599
678	1262	597
679	1264	595
680	1266	593
681	1268	591
682	1270	589
683	1271	587
684	1273	585
685	1274	583
686	1276	581
687	1277	579
688	1279	577
689	1281	575
690	1282	573
691	1284	571
692	1285	569
693	1287	567
694	1288	565
695	1290	563
696	1291	561
697	1293	559
698	1295	557
699	1297	555
700	1298	553
701	1300	551
702	1301	549
703	1303	547
704	1304	545
705	1306	543
706	1307	541
707	1309	540
708	1313	539
709	1315	537
710	1317	535
711	1318	533
712	1320	531
713	1321	529
714	1323	527
715	1325	525
716	1327	524
717	1329	522
718	1331	520
719	1332	518
720	1334	516
721	1335	514
722	1336	512
723	1338	510
724	1340	508
725	1341	506
726	1343	504
727	1345	502
728	1347	500
729	1348	498
730	1350	496
731	1352	495
732	1353	493
733	1355	491
734	1357	489
735	1359	487
736	1361	485
737	1362	483
738	1364	481
739	1365	479
740	1367	477
741	1368	476
742	1370	474
743	1372	472
744	1374	470
745	1376	468
746	1378	466
747	1379	464
748	1381	462
749	1383	461
750	1384	459
751	1386	457
752	1389	455
753	1391	453
754	1393	452
755	1394	450
756	1396	448
757	1398	446
758	1399	444
759	1400	442
760	1402	440
761	1404	438
762	1406	436
763	1408	434
764	1409	433
765	1410	431
766	1412	429
767	1413	427
768	1415	425
769	1417	423
770	1418	421
771	1420	419
772	1422	417
773	1424	415
774	1425	413
775	1427	411
776	1428	409
777	1430	408
778	1431	406
779	1433	404
780	1435	402
781	1437	400
782	1438	398
783	1439	396
784	1441	394
785	1443	392
786	1444	391
787	1447	389
788	1449	387
789	1450	385
790	1452	383
791	1454	381
792	1455	380
793	1457	378
794	1459	376
795	1461	374
796	1463	372
797	1464	370
798	1466	368
799	1468	367
800	1470	365
801	1471	363
802	1473	361
803	1474	359
804	1476	357
805	1478	355
806	1480	354
807	1482	352
808	1483	350
809	1485	348
810	1486	346
811	1488	344
812	1489	342
813	1492	341
814	1494	339
815	1496	337
816	1498	335
817	1499	333
818	1501	331
819	1503	329
820	1505	328
821	1508	326
822	1512	325
823	1513	323
824	1515	321
825	1516	319
826	1518	317
827	1519	315
828	1522	314
829	1524	312
830	1526	310
831	1528	308
832	1530	306
833	1531	304
834	1533	303
835	1535	301
836	1537	299
837	1539	297
838	1541	295
839	1543	293
840	1544	292
841	1546	290
842	1548	288
843	1549	286
844	1552	284
845	1555	283
846	1557	281
847	1558	279
848	1561	277
849	1563	275
850	1564	273
851	1567	272
852	1568	270
853	1570	268
854	1572	266
855	1574	264
856	1575	262
857	1577	261
858	1579	259
859	1581	257
860	1582	255
861	1585	253
862	1587	251
863	1588	250
864	1590	248
865	1592	246
866	1593	244
867	1595	242
868	1598	240
869	1600	239
870	1601	237
871	1603	235
872	1604	233
873	1606	231
874	1608	229
875	1610	227
876	1612	226
877	1614	224
878	1615	222
879	1617	220
880	1618	218
881	1620	216
882	1621	214
883	1623	212
884	1624	211
885	1627	209
886	1629	207
887	1630	205
888	1632	203
889	1633	201
890	1635	200
891	1636	198
892	1638	196
893	1639	194
894	1641	192
895	1643	190
896	1645	188
897	1646	187
898	1648	185
899	1649	183
